,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,Company
59,1,gas,std,two,sedan,4wd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26,32,8845.0,mazda
60,0,gas,std,four,sedan,4wd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26,32,8495.0,mazda
62,0,gas,std,four,sedan,4wd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26,32,10245.0,mazda
63,0,diesel,std,four,sedan,4wd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122.0,mpfi,3.39,3.39,22.7,64.0,4650,36,42,10795.0,mazda
64,0,gas,std,four,hatchback,4wd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26,32,11245.0,mazda
65,0,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000,19,27,18280.0,mazda
66,0,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72.0,4200,31,39,18344.0,mazda
67,-1,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350,22,25,25552.0,buick
68,-1,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350,22,25,28248.0,buick
69,0,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,five,183.0,mpfi,3.58,3.64,21.5,123.0,4350,22,25,28176.0,buick
71,-1,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750,16,18,34184.0,buick
72,3,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750,16,18,35056.0,buick
73,0,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184.0,4500,14,16,40960.0,buick
74,1,gas,std,four,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184.0,4500,14,16,45400.0,buick
75,1,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000,19,24,16503.0,mercury
76,2,gas,std,two,hatchback,4wd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500,37,41,5389.0,mitsubishi
77,2,gas,std,two,hatchback,4wd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6189.0,mitsubishi
78,2,gas,std,two,hatchback,4wd,front,98.77,157.3,64.4,50.8,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6669.0,mitsubishi
79,1,gas,turbo,two,hatchback,4wd,front,93.0,174.07,63.8,50.8,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500,24,30,7689.0,mitsubishi
80,3,gas,turbo,two,hatchback,4wd,front,96.3,173.0,65.4,49.4,2554.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500,23,30,9959.0,mitsubishi
81,3,gas,std,two,hatchback,4wd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122.0,mpfi,3.35,3.46,8.5,88.0,5000,25,32,8499.0,mitsubishi
82,3,gas,turbo,two,hatchback,4wd,front,95.9,173.2,66.3,50.2,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145.0,5000,19,24,12629.0,mitsubishi
83,3,gas,turbo,four,sedan,4wd,front,95.9,173.2,66.3,50.2,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000,19,24,14869.0,mitsubishi
84,3,gas,turbo,two,hatchback,4wd,front,95.9,173.2,66.3,50.2,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000,19,24,14489.0,mitsubishi
86,1,gas,std,four,sedan,4wd,front,96.3,172.4,65.4,51.6,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000,25,32,8189.0,mitsubishi
87,1,gas,turbo,four,sedan,4wd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500,23,30,9279.0,mitsubishi
88,-1,gas,std,four,sedan,4wd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500,23,30,9279.0,mitsubishi
89,1,gas,std,two,sedan,4wd,front,98.77,165.3,63.8,54.5,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,5499.0,nissan
90,1,diesel,std,two,sedan,4wd,front,94.5,165.3,63.8,54.5,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55.0,4800,45,50,7099.0,nissan
91,1,gas,std,two,sedan,4wd,front,94.5,165.3,63.8,54.5,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,6649.0,nissan
92,1,gas,std,four,sedan,4wd,front,94.5,165.3,63.8,54.5,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,6849.0,nissan
93,1,gas,std,four,wagon,4wd,front,94.5,170.2,63.8,53.5,2024.0,ohc,four,97.0,mpfi,3.15,3.29,9.4,69.0,5200,31,37,7349.0,nissan
94,1,gas,std,two,sedan,4wd,front,94.5,165.3,63.8,54.5,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7299.0,nissan
95,1,gas,std,two,hatchback,4wd,front,94.5,165.6,63.8,53.3,2028.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7799.0,nissan
96,1,gas,std,four,sedan,4wd,front,94.5,165.3,63.8,54.5,1971.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7499.0,nissan
97,1,gas,std,four,wagon,4wd,front,94.5,174.07,63.8,53.5,2554.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7999.0,nissan
98,2,gas,std,two,hardtop,4wd,front,95.1,162.4,63.8,53.3,2008.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31,37,8249.0,nissan
99,0,gas,std,four,hatchback,4wd,front,97.2,173.4,65.2,54.7,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200,27,34,8949.0,nissan
101,0,gas,std,four,sedan,4wd,front,100.4,181.7,66.5,55.1,3095.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200,17,22,13499.0,nissan
102,0,gas,std,four,wagon,4wd,front,100.4,184.6,66.5,56.1,3296.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200,17,22,14399.0,nissan
103,0,gas,std,four,sedan,4wd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200,19,25,13499.0,nissan
104,3,gas,std,two,hatchback,rwd,front,91.3,174.07,67.9,49.7,3071.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200,19,25,17199.0,nissan
105,3,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,7.8,200.0,5200,17,23,19699.0,nissan
106,1,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200,19,25,18399.0,nissan
107,0,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000,19,24,11900.0,peugeot
108,0,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,28,33,13200.0,peugeot
109,0,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000,19,24,12440.0,peugeot
110,0,gas,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430.0,l,four,152.0,idi,3.33,3.52,21.0,95.0,4150,25,25,13860.0,peugeot
111,0,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,3.46,2.19,8.4,95.0,5000,19,24,15580.0,peugeot
113,0,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,four,120.0,mpfi,3.46,2.19,8.4,95.0,5000,19,24,16695.0,peugeot
114,0,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,25,25,17075.0,peugeot
115,0,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000,19,24,16630.0,peugeot
116,0,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,28,33,17950.0,peugeot
117,0,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,four,134.0,mpfi,3.61,3.21,7.0,142.0,5600,18,24,18150.0,peugeot
118,1,gas,std,two,hatchback,4wd,front,93.7,174.07,63.8,50.8,1918.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,37,41,5572.0,plymouth
119,1,gas,turbo,two,hatchback,4wd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500,24,30,7957.0,plymouth
120,1,gas,std,four,hatchback,4wd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6229.0,plymouth
121,1,gas,std,four,sedan,4wd,front,93.7,167.3,63.8,50.8,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6692.0,plymouth
122,1,gas,std,four,sedan,4wd,front,93.7,167.3,63.8,50.8,2191.0,ohc,four,98.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,7609.0,plymouth
123,-1,gas,std,four,wagon,4wd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000,24,30,8921.0,plymouth
125,3,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,four,151.0,mpfi,3.94,3.11,9.5,143.0,5500,19,27,22018.0,porsche
126,3,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.33,2.9,9.5,207.0,5900,17,25,32528.0,porsche
127,3,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900,17,25,34028.0,porsche
128,3,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900,17,25,37028.0,porsche
129,1,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,eight,203.0,mpfi,3.94,3.11,10.0,288.0,5750,17,28,31400.5,porsche
130,0,gas,std,four,wagon,4wd,front,96.1,181.5,66.5,55.2,2579.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,90.0,5100,23,31,9295.0,renault
131,2,gas,std,two,hatchback,4wd,front,96.1,176.8,66.6,50.5,2460.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,90.0,5100,23,31,9895.0,renault
132,3,gas,std,two,hatchback,4wd,front,99.1,186.6,66.5,56.1,2658.0,ohc,four,121.0,mpfi,3.54,3.07,9.31,110.0,5250,21,28,11850.0,saab
133,2,gas,std,four,sedan,4wd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250,21,28,12170.0,saab
134,3,gas,std,two,hatchback,4wd,front,99.1,186.6,66.5,56.1,2707.0,ohc,four,121.0,mpfi,2.54,2.07,9.3,110.0,5250,21,28,15040.0,saab
135,2,gas,std,four,sedan,4wd,front,99.1,186.6,66.5,56.1,2758.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250,21,28,15510.0,saab
137,2,gas,turbo,four,sedan,4wd,front,99.1,186.6,66.5,56.1,2847.0,dohc,four,121.0,mpfi,3.54,3.25,9.0,160.0,5500,19,26,18620.0,saab
138,2,gas,std,two,hatchback,4wd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,four,97.0,2bbl,3.62,2.36,9.0,69.0,4900,31,36,5118.0,subaru
139,2,gas,std,two,hatchback,4wd,front,93.7,157.9,63.6,53.7,2120.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73.0,4400,26,31,7053.0,subaru
140,2,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73.0,4400,26,31,7603.0,subaru
141,0,gas,std,four,sedan,4wd,front,97.2,174.07,65.4,52.5,2145.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82.0,4800,32,37,7126.0,subaru
142,0,gas,std,four,sedan,4wd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82.0,4400,28,33,7775.0,subaru
143,0,gas,std,four,sedan,4wd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200,26,32,9960.0,subaru
144,0,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800,24,25,9233.0,subaru
145,0,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111.0,4800,24,29,11259.0,subaru
146,0,gas,std,four,wagon,4wd,front,97.0,173.5,65.4,53.0,2290.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800,28,32,7463.0,subaru
147,0,gas,std,four,wagon,4wd,front,97.0,173.5,65.4,53.0,2455.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200,25,31,10198.0,subaru
148,0,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800,23,29,8013.0,subaru
149,0,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111.0,4800,23,23,11694.0,subaru
150,1,gas,std,two,hatchback,4wd,front,95.7,158.7,63.6,54.5,1985.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800,35,39,5348.0,toyota
152,1,gas,std,four,hatchback,4wd,front,95.7,158.7,63.6,54.5,2015.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800,31,38,6488.0,toyota
153,0,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2280.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800,31,37,6918.0,toyota
154,0,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800,27,32,7898.0,toyota
155,0,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800,27,32,8778.0,toyota
156,0,gas,std,four,sedan,4wd,front,95.7,166.3,64.4,53.0,2081.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,30,37,6938.0,toyota
157,0,gas,std,four,hatchback,4wd,front,95.7,166.3,64.4,52.8,2109.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,30,37,7198.0,toyota
158,0,diesel,std,four,sedan,4wd,front,95.7,166.3,64.4,53.0,2275.0,ohc,four,110.0,idi,3.27,3.35,22.5,56.0,4500,34,36,7898.0,toyota
159,0,diesel,std,four,hatchback,4wd,front,95.7,166.3,64.4,52.8,2275.0,ohc,four,110.0,idi,3.27,3.35,22.5,56.0,4500,38,47,7788.0,toyota
160,0,gas,std,four,sedan,4wd,front,95.7,166.3,64.4,53.0,2094.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,38,47,7738.0,toyota
161,0,gas,std,four,hatchback,4wd,front,95.7,166.3,64.4,52.8,2122.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,28,34,8358.0,toyota
162,0,gas,std,four,sedan,4wd,front,95.7,166.3,64.4,52.8,2140.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,28,34,9258.0,toyota
163,1,gas,std,two,sedan,rwd,front,94.5,174.07,64.0,52.6,2169.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,29,34,8058.0,toyota
164,1,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800,29,34,8238.0,toyota
165,1,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265.0,dohc,four,98.0,mpfi,3.24,3.08,9.4,112.0,6600,26,29,9298.0,toyota
